optimizer,lr,batch_size,val_loss
SGD,0.1,16,0.4346076771616936
SGD,0.1,32,0.41077281534671783
SGD,0.1,64,0.4122886061668396
SGD,0.01,16,0.4102681577205658
SGD,0.01,32,0.42868630588054657
SGD,0.01,64,0.5073602199554443
SGD,0.001,16,0.5273859724402428
SGD,0.001,32,0.8641515970230103
SGD,0.001,64,0.6117367148399353
Adam,0.1,16,0.47142264246940613
Adam,0.1,32,0.4467785358428955
Adam,0.1,64,0.4395865499973297
Adam,0.01,16,0.42562495917081833
Adam,0.01,32,0.42536284029483795
Adam,0.01,64,0.40969014167785645
Adam,0.001,16,0.4403494894504547
Adam,0.001,32,0.42068396508693695
Adam,0.001,64,0.5617737174034119
RMSprop,0.1,16,0.621158555150032
RMSprop,0.1,32,0.4651532769203186
RMSprop,0.1,64,0.39610156416893005
RMSprop,0.01,16,0.43487339466810226
RMSprop,0.01,32,0.43711407482624054
RMSprop,0.01,64,0.4262181222438812
RMSprop,0.001,16,0.3881312534213066
RMSprop,0.001,32,0.4388331323862076
RMSprop,0.001,64,0.40633824467658997
